asset_ip,vuln_count,score_mean,score_max,cvss_mean,epss_mean,exposure,cisa_count,cve_trend_count,months_open_max,cluster,risk_profile
198.51.100.88,3,15.4,22.6,6.2,0.0,3,0,0,0.0,2,Moderate
198.51.100.89,5,18.92,22.6,7.959999999999999,0.0,3,0,2,5.0,1,High
198.51.100.9,7,17.514285714285716,22.6,7.257142857142857,0.0,3,0,0,5.0,1,High
198.51.100.90,31,16.683870967741935,30.3,6.6,0.03258064516129032,3,2,0,5.0,1,High
198.51.100.91,26,17.853846153846153,30.3,7.238461538461538,0.037307692307692306,3,1,2,5.0,1,High
198.51.100.92,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
198.51.100.93,5,17.6,20.6,7.3,0.0,3,0,1,4.0,1,High
198.51.100.94,25,17.656000000000002,30.3,7.132000000000001,0.039599999999999996,3,1,0,5.0,1,High
198.51.100.95,17,19.264705882352942,23.9,7.964705882352941,0.009999999999999998,3,1,2,1.0,2,Moderate
198.51.100.96,4,11.85,20.2,4.425,0.0,3,0,0,5.0,0,Critical
198.51.100.97,12,13.424999999999999,18.2,5.1000000000000005,0.04416666666666667,3,0,0,5.0,1,High
198.51.100.98,1,3.0,3.0,0.0,0.0,3,0,0,5.0,0,Critical
198.51.100.99,22,17.78181818181818,30.3,7.154545454545455,0.050454545454545446,3,1,0,4.0,1,High
