host_ip,qtd_vulns,score_medio,score_max,cvss_medio,epss_medio,exposicao,qtd_cisa,qtd_cve_trend,meses_aberto_max,cluster,perfil_risco
192.168.0.106,26,21.299999999999997,30.3,7.996153846153846,0.11692307692307692,3,9,0,5.0,0,Crítico
192.168.0.107,52,19.898076923076925,32.2,7.965384615384616,0.0019230769230769232,3,9,0,5.0,0,Crítico
192.168.0.108,5,10.2,17.6,3.6,0.0,3,0,0,5.0,2,Moderado
192.168.0.109,4,12.0,17.6,4.5,0.0,3,0,0,5.0,2,Moderado
192.168.0.11,7,18.17142857142857,22.7,7.571428571428571,0.0071428571428571435,3,0,0,0.0,1,Alto
192.168.0.110,1,20.2,20.2,8.6,0.0,3,0,0,0.0,1,Alto
192.168.0.111,7,15.571428571428571,22.6,6.285714285714286,0.0,3,0,0,4.0,0,Crítico
192.168.0.112,6,11.6,18.6,4.3,0.0,3,0,0,5.0,2,Moderado
192.168.0.113,5,10.2,17.6,3.6,0.0,3,0,0,5.0,2,Moderado
192.168.0.114,6,11.6,18.6,4.3,0.0,3,0,0,5.0,2,Moderado
192.168.0.115,58,21.082758620689653,32.2,8.560344827586206,0.003448275862068966,3,10,0,5.0,0,Crítico
192.168.0.117,10,17.73,22.6,7.35,0.006,3,0,0,3.0,0,Crítico
192.168.0.119,8,18.05,22.6,7.525,0.0025,3,0,0,0.0,1,Alto
192.168.0.12,16,19.45625,30.3,7.925000000000001,0.06,3,1,0,5.0,0,Crítico
192.168.0.120,72,20.695833333333336,32.2,8.443055555555555,0.009583333333333333,3,10,0,4.0,0,Crítico
192.168.0.13,27,18.05925925925926,30.3,7.348148148148148,0.03666666666666667,3,1,0,5.0,0,Crítico
192.168.0.130,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,5.0,0,Crítico
192.168.0.132,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
192.168.0.133,3,19.733333333333334,22.6,8.366666666666667,0.0,3,0,0,0.0,1,Alto
192.168.0.14,11,17.272727272727273,22.6,7.090909090909091,0.017272727272727273,3,0,0,5.0,0,Crítico
192.168.0.140,2,13.8,22.6,5.4,0.0,3,0,0,0.0,1,Alto
192.168.0.146,2,20.6,22.6,8.8,0.0,3,0,0,0.0,1,Alto
192.168.0.147,47,21.385106382978723,32.2,8.657446808510638,0.0019148936170212765,3,9,0,3.0,0,Crítico
192.168.0.148,3,19.733333333333334,22.6,8.366666666666667,0.0,3,0,0,0.0,1,Alto
192.168.0.15,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,5.0,0,Crítico
192.168.0.151,5,16.68,20.6,6.840000000000001,0.002,3,0,0,0.0,1,Alto
192.168.0.158,45,21.526666666666667,32.2,8.704444444444446,0.002,3,9,0,5.0,0,Crítico
